name,code,timestamp,rate,series,n,portname
China to Northern Europe,FRCNREU,2023-04-25,1396.0,freight_rates,,
Global average,FRGBLFB,2023-04-26,1565.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-26,1396.0,freight_rates,,
Global average,FRGBLFB,2023-04-27,1565.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-27,1396.0,freight_rates,,
Global average,FRGBLFB,2023-04-28,1567.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-04-28,1396.0,freight_rates,,
Global average,FRGBLFB,2023-05-01,1567.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-01,1396.0,freight_rates,,
Global average,FRGBLFB,2023-05-02,1533.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-02,1410.0,freight_rates,,
Global average,FRGBLFB,2023-05-03,1499.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-03,1385.0,freight_rates,,
Global average,FRGBLFB,2023-05-04,1483.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-04,1385.0,freight_rates,,
Global average,FRGBLFB,2023-05-05,1477.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-05,1385.0,freight_rates,,
Global average,FRGBLFB,2023-05-08,1477.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-08,1385.0,freight_rates,,
Global average,FRGBLFB,2023-05-09,1455.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-09,1382.0,freight_rates,,
Global average,FRGBLFB,2023-05-10,1430.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-10,1368.0,freight_rates,,
Global average,FRGBLFB,2023-05-11,1428.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-11,1381.0,freight_rates,,
Global average,FRGBLFB,2023-05-12,1429.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-12,1381.0,freight_rates,,
Global average,FRGBLFB,2023-05-15,1432.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-15,1300.0,freight_rates,,
Global average,FRGBLFB,2023-05-16,1446.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-16,1370.0,freight_rates,,
Global average,FRGBLFB,2023-05-17,1456.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-17,1418.0,freight_rates,,
Global average,FRGBLFB,2023-05-18,1445.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-18,1418.0,freight_rates,,
Global average,FRGBLFB,2023-05-19,1461.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-19,1418.0,freight_rates,,
Global average,FRGBLFB,2023-05-22,1416.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-22,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-23,1413.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-23,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-24,1419.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-24,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-25,1401.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-25,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-26,1393.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-26,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-29,1393.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-29,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-30,1390.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-30,1420.0,freight_rates,,
Global average,FRGBLFB,2023-05-31,1399.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-05-31,1420.0,freight_rates,,
Global average,FRGBLFB,2023-06-01,1343.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-01,1165.0,freight_rates,,
Global average,FRGBLFB,2023-06-02,1380.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-02,1172.0,freight_rates,,
Global average,FRGBLFB,2023-06-05,1388.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-05,1165.0,freight_rates,,
Global average,FRGBLFB,2023-06-06,1466.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-06,1165.0,freight_rates,,
Global average,FRGBLFB,2023-06-07,1443.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-07,1226.0,freight_rates,,
Global average,FRGBLFB,2023-06-08,1453.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-08,1226.0,freight_rates,,
Global average,FRGBLFB,2023-06-09,1453.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-09,1226.0,freight_rates,,
Global average,FRGBLFB,2023-06-12,1472.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-12,1356.0,freight_rates,,
Global average,FRGBLFB,2023-06-13,1464.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-13,1356.0,freight_rates,,
Global average,FRGBLFB,2023-06-14,1435.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-14,1356.0,freight_rates,,
Global average,FRGBLFB,2023-06-15,1328.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-15,1294.0,freight_rates,,
Global average,FRGBLFB,2023-06-16,1295.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-16,1263.0,freight_rates,,
Global average,FRGBLFB,2023-06-19,1309.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-19,1263.0,freight_rates,,
Global average,FRGBLFB,2023-06-20,1305.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-20,1263.0,freight_rates,,
Global average,FRGBLFB,2023-06-21,1297.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-21,1253.0,freight_rates,,
Global average,FRGBLFB,2023-06-22,1292.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-22,1247.0,freight_rates,,
Global average,FRGBLFB,2023-06-23,1284.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-23,1304.0,freight_rates,,
Global average,FRGBLFB,2023-06-26,1287.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-26,1301.0,freight_rates,,
Global average,FRGBLFB,2023-06-27,1288.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-27,1296.0,freight_rates,,
Global average,FRGBLFB,2023-06-28,1270.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-28,1296.0,freight_rates,,
Global average,FRGBLFB,2023-06-29,1271.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-29,1297.0,freight_rates,,
Global average,FRGBLFB,2023-06-30,1270.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-06-30,1293.0,freight_rates,,
Global average,FRGBLFB,2023-07-03,1286.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-03,1300.0,freight_rates,,
Global average,FRGBLFB,2023-07-04,1286.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-04,1298.0,freight_rates,,
Global average,FRGBLFB,2023-07-05,1297.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-05,1299.0,freight_rates,,
Global average,FRGBLFB,2023-07-06,1294.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-06,1306.0,freight_rates,,
Global average,FRGBLFB,2023-07-07,1287.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-07,1296.0,freight_rates,,
Global average,FRGBLFB,2023-07-10,1280.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-10,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-11,1279.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-11,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-12,1264.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-12,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-13,1264.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-13,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-14,1264.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-14,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-17,1267.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-17,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-18,1268.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-18,1286.0,freight_rates,,
Global average,FRGBLFB,2023-07-19,1281.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-19,1285.0,freight_rates,,
Global average,FRGBLFB,2023-07-20,1317.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-20,1284.0,freight_rates,,
Global average,FRGBLFB,2023-07-21,1317.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-21,1283.0,freight_rates,,
Global average,FRGBLFB,2023-07-24,1334.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-24,1268.0,freight_rates,,
Global average,FRGBLFB,2023-07-25,1333.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-25,1268.0,freight_rates,,
Global average,FRGBLFB,2023-07-26,1320.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-26,1261.0,freight_rates,,
Global average,FRGBLFB,2023-07-27,1315.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-27,1260.0,freight_rates,,
Global average,FRGBLFB,2023-07-28,1314.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-28,1265.0,freight_rates,,
Global average,FRGBLFB,2023-07-31,1314.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-07-31,1267.0,freight_rates,,
Global average,FRGBLFB,2023-08-01,1470.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-01,1736.0,freight_rates,,
Global average,FRGBLFB,2023-08-02,1460.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-02,1744.0,freight_rates,,
Global average,FRGBLFB,2023-08-03,1480.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-03,1760.0,freight_rates,,
Global average,FRGBLFB,2023-08-04,1485.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-04,1770.0,freight_rates,,
Global average,FRGBLFB,2023-08-07,1540.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-07,1805.0,freight_rates,,
Global average,FRGBLFB,2023-08-08,1539.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-08,1782.0,freight_rates,,
Global average,FRGBLFB,2023-08-09,1544.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-09,1784.0,freight_rates,,
Global average,FRGBLFB,2023-08-10,1531.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-10,1784.0,freight_rates,,
Global average,FRGBLFB,2023-08-11,1512.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-11,1788.0,freight_rates,,
Global average,FRGBLFB,2023-08-14,1528.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-14,1782.0,freight_rates,,
Global average,FRGBLFB,2023-08-15,1461.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-15,1691.0,freight_rates,,
Global average,FRGBLFB,2023-08-16,1465.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-16,1691.0,freight_rates,,
Global average,FRGBLFB,2023-08-17,1527.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-17,1691.0,freight_rates,,
Global average,FRGBLFB,2023-08-18,1522.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-18,1683.0,freight_rates,,
Global average,FRGBLFB,2023-08-21,1535.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-21,1738.0,freight_rates,,
Global average,FRGBLFB,2023-08-22,1530.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-22,1738.0,freight_rates,,
Global average,FRGBLFB,2023-08-23,1523.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-23,1736.0,freight_rates,,
Global average,FRGBLFB,2023-08-24,1524.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-24,1736.0,freight_rates,,
Global average,FRGBLFB,2023-08-25,1537.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-25,1787.0,freight_rates,,
Global average,FRGBLFB,2023-08-28,1537.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-28,1787.0,freight_rates,,
Global average,FRGBLFB,2023-08-29,1516.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-29,1772.0,freight_rates,,
Global average,FRGBLFB,2023-08-30,1541.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-30,1748.0,freight_rates,,
Global average,FRGBLFB,2023-08-31,1538.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-08-31,1753.0,freight_rates,,
Global average,FRGBLFB,2023-09-01,1525.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-01,1682.0,freight_rates,,
Global average,FRGBLFB,2023-09-04,1480.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-04,1615.0,freight_rates,,
Global average,FRGBLFB,2023-09-05,1455.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-05,1623.0,freight_rates,,
Global average,FRGBLFB,2023-09-06,1456.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-06,1596.0,freight_rates,,
Global average,FRGBLFB,2023-09-07,1456.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-07,1640.0,freight_rates,,
Global average,FRGBLFB,2023-09-08,1428.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-08,1565.0,freight_rates,,
Global average,FRGBLFB,2023-09-11,1410.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-11,1566.0,freight_rates,,
Global average,FRGBLFB,2023-09-12,1411.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-12,1574.0,freight_rates,,
Global average,FRGBLFB,2023-09-13,1396.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-13,1535.0,freight_rates,,
Global average,FRGBLFB,2023-09-14,1399.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-14,1542.0,freight_rates,,
Global average,FRGBLFB,2023-09-15,1332.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-15,1366.0,freight_rates,,
Global average,FRGBLFB,2023-09-18,1269.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-18,999.0,freight_rates,,
Global average,FRGBLFB,2023-09-19,1242.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-19,999.0,freight_rates,,
Global average,FRGBLFB,2023-09-20,1239.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-20,995.0,freight_rates,,
Global average,FRGBLFB,2023-09-21,1256.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-21,999.0,freight_rates,,
Global average,FRGBLFB,2023-09-22,1249.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-22,990.0,freight_rates,,
Global average,FRGBLFB,2023-09-25,1171.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-25,999.0,freight_rates,,
Global average,FRGBLFB,2023-09-26,1179.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-26,1025.0,freight_rates,,
Global average,FRGBLFB,2023-09-27,1177.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-27,1025.0,freight_rates,,
Global average,FRGBLFB,2023-09-28,1183.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-28,1025.0,freight_rates,,
Global average,FRGBLFB,2023-09-29,1172.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-09-29,1025.0,freight_rates,,
Global average,FRGBLFB,2023-10-02,1097.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-02,898.0,freight_rates,,
Global average,FRGBLFB,2023-10-03,1094.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-03,898.0,freight_rates,,
Global average,FRGBLFB,2023-10-04,1091.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-04,898.0,freight_rates,,
Global average,FRGBLFB,2023-10-05,1086.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-05,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-06,1076.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-06,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-09,1077.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-09,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-10,1076.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-10,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-11,1076.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-11,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-12,1070.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-12,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-13,1068.0,freight_rates,,
China to Northern Europe,FRCNREU,2023-10-13,946.0,freight_rates,,
Global average,FRGBLFB,2023-10-16,1047.0,freight_rates,,
