ticker,cik,fiscal_year,shares_outstanding,total_assets,total_liab,deposits,equity,liab_current,longterm_debt,net_income,interest_expense
NDAQ,1120193,2025,558977372.0,31053000000.0,18821000000.0,,12227000000.0,7961000000.0,8573000000.0,1788000000.0,
NEE,753308,2015,2085341456.0,82479000000.0,,,22574000000.0,10107000000.0,26681000000.0,507000000.0,
NEE,753308,2016,2085341456.0,89993000000.0,,,24341000000.0,10919000000.0,27818000000.0,966000000.0,
NEE,753308,2017,2085341456.0,97827000000.0,,,28208000000.0,11232000000.0,31463000000.0,2155000000.0,
NEE,753308,2018,2085341456.0,103702000000.0,,,34144000000.0,17563000000.0,26782000000.0,422000000.0,
NEE,753308,2019,2085341456.0,117691000000.0,,,37005000000.0,13853000000.0,37543000000.0,975000000.0,
NEE,753308,2020,2085341456.0,127684000000.0,82755000000.0,,36513000000.0,15558000000.0,41944000000.0,2919000000.0,
NEE,753308,2021,2085341456.0,140912000000.0,95243000000.0,,37202000000.0,17437000000.0,50960000000.0,3573000000.0,
NEE,753308,2022,2085341456.0,158935000000.0,109499000000.0,,39229000000.0,26695000000.0,55256000000.0,4147000000.0,
NEE,753308,2023,2085341456.0,177489000000.0,118465000000.0,,47468000000.0,27963000000.0,61405000000.0,7310000000.0,
NEE,753308,2024,2085341456.0,190144000000.0,129283000000.0,,50101000000.0,25355000000.0,72385000000.0,6946000000.0,
NEE,753308,2025,2085341456.0,212721000000.0,146242000000.0,,54608000000.0,22817000000.0,89556000000.0,6835000000.0,
NEN,746514,2015,3108860.0,202166216.0,232977169.0,,,,,1192704.0,9809293.0
NEN,746514,2016,3108860.0,190562066.0,224786792.0,,,,,1528755.0,10200393.0
NEN,746514,2017,3108860.0,226807236.0,262122413.0,,,,,1688270.0,11114146.0
NEN,746514,2018,3108860.0,247035340.0,282659350.0,,,,,1576877.0,12389680.0
NEN,746514,2019,3108860.0,294293649.0,332117437.0,,,,,1898513.0,12201966.0
NEN,746514,2020,3108860.0,291669602.0,333138647.0,,,,,-970022.0,13705415.0
NEN,746514,2021,3108860.0,356875579.0,406168186.0,,,,,-2900489.0,13629463.0
NEN,746514,2022,3108860.0,391820280.0,451689637.0,,,,414125000.0,2142646.0,15045477.0
NEN,746514,2023,3108860.0,385730690.0,451085074.0,,,,411439000.0,2299745.0,15723733.0
NEN,746514,2024,3108860.0,393508658.0,455942560.0,,,,408605000.0,4215867.0,
NEN,746514,2025,3108860.0,505331191.0,579546772.0,,,,531031000.0,-1392516.0,
NGS,1084991,2015,12898285.0,285553000.0,61572000.0,,223981000.0,4568000.0,,3277000.0,15000.0
NGS,1084991,2016,12898285.0,293524000.0,60570000.0,,232954000.0,6500000.0,,1160000.0,8000.0
NGS,1084991,2017,12898285.0,298310000.0,40991000.0,,257319000.0,7453000.0,,18702000.0,14000.0
NGS,1084991,2018,12898285.0,305401000.0,45220000.0,,260181000.0,10946000.0,,-282000.0,69000.0
NGS,1084991,2019,12898285.0,286577000.0,38884000.0,,247693000.0,5508000.0,,-1710000.0,15000.0
NGS,1084991,2020,12898285.0,306801000.0,55257000.0,,251544000.0,10861000.0,,1808000.0,14000.0
NGS,1084991,2021,12898285.0,298506000.0,62596000.0,,235910000.0,20278000.0,,-9183000.0,65000.0
NGS,1084991,2022,12898285.0,328246000.0,98170000.0,,230076000.0,30399000.0,,-569000.0,364000.0
NGS,1084991,2023,12898285.0,478729000.0,242835000.0,,235894000.0,32713000.0,,4747000.0,4082000.0
NGS,1084991,2024,12898285.0,492528000.0,237471000.0,,255057000.0,17358000.0,,17227000.0,
NGS,1084991,2025,12898285.0,586786000.0,312070000.0,,274716000.0,24510000.0,,19928000.0,
NIC,1174850,2015,20957513.0,1214439000.0,1104752000.0,1056417000.0,109501000.0,,,11428000.0,7213000.0
